burn_area_forecast,lon,lat,area,date
0.0,14.49689738,-5.130335927,0,2025-11-01
0.0,14.49689738,-5.130335927,0,2025-12-01
0.0,14.49689738,-5.130335927,0,2026-01-01
0.0,14.49689738,-5.130335927,0,2026-02-01
0.0,14.49689738,-5.130335927,0,2026-03-01
0.0004826819936690856,14.49689738,-5.130335927,0,2026-04-01
0.050531481452294975,18.33094002,-6.787365899,1,2021-05-01
0.24469638411708056,18.33094002,-6.787365899,1,2021-06-01
0.1343557385690017,18.33094002,-6.787365899,1,2021-07-01
0.009811879571989262,18.33094002,-6.787365899,1,2021-08-01
1.7730846822770242e-06,18.33094002,-6.787365899,1,2021-09-01
0.0,18.33094002,-6.787365899,1,2021-10-01
3.8819009304698466e-05,18.33094002,-6.787365899,1,2021-11-01
0.0,18.33094002,-6.787365899,1,2021-12-01
0.004004898358692504,18.33094002,-6.787365899,1,2022-01-01
0.00027142889419070205,18.33094002,-6.787365899,1,2022-02-01
0.008439899788092238,18.33094002,-6.787365899,1,2022-03-01
0.0022087565026916757,18.33094002,-6.787365899,1,2022-04-01
0.048238184761837395,18.33094002,-6.787365899,1,2022-05-01
0.23597934736946183,18.33094002,-6.787365899,1,2022-06-01
0.14910175968371753,18.33094002,-6.787365899,1,2022-07-01
0.011297992780481386,18.33094002,-6.787365899,1,2022-08-01
2.2373336134235406e-06,18.33094002,-6.787365899,1,2022-09-01
0.0,18.33094002,-6.787365899,1,2022-10-01
4.4419334606490135e-05,18.33094002,-6.787365899,1,2022-11-01
0.0,18.33094002,-6.787365899,1,2022-12-01
0.0014466366843517249,18.33094002,-6.787365899,1,2023-01-01
0.0011278339301495186,18.33094002,-6.787365899,1,2023-02-01
0.011028863913615081,18.33094002,-6.787365899,1,2023-03-01
0.002302668848730149,18.33094002,-6.787365899,1,2023-04-01
0.04901947078438009,18.33094002,-6.787365899,1,2023-05-01
0.2387401473945014,18.33094002,-6.787365899,1,2023-06-01
0.14441396027314388,18.33094002,-6.787365899,1,2023-07-01
0.010824625975297061,18.33094002,-6.787365899,1,2023-08-01
2.239627935099422e-06,18.33094002,-6.787365899,1,2023-09-01
0.0,18.33094002,-6.787365899,1,2023-10-01
4.2645986338522294e-05,18.33094002,-6.787365899,1,2023-11-01
0.0,18.33094002,-6.787365899,1,2023-12-01
0.0022603988992420344,18.33094002,-6.787365899,1,2024-01-01
0.000855418503799718,18.33094002,-6.787365899,1,2024-02-01
0.010205335961597726,18.33094002,-6.787365899,1,2024-03-01
0.002272796106400759,18.33094002,-6.787365899,1,2024-04-01
0.04877095019394928,18.33094002,-6.787365899,1,2024-05-01
0.2378619598470673,18.33094002,-6.787365899,1,2024-06-01
0.14590511031252273,18.33094002,-6.787365899,1,2024-07-01
0.010975200022576818,18.33094002,-6.787365899,1,2024-08-01
2.2388981340765854e-06,18.33094002,-6.787365899,1,2024-09-01
0.0,18.33094002,-6.787365899,1,2024-10-01
4.321007368715027e-05,18.33094002,-6.787365899,1,2024-11-01
0.0,18.33094002,-6.787365899,1,2024-12-01
0.002001547900629199,18.33094002,-6.787365899,1,2025-01-01
0.0009420715872900752,18.33094002,-6.787365899,1,2025-02-01
0.010467293360042453,18.33094002,-6.787365899,1,2025-03-01
0.002282298377508676,18.33094002,-6.787365899,1,2025-04-01
0.048850002528687556,18.33094002,-6.787365899,1,2025-05-01
0.23814130400862107,18.33094002,-6.787365899,1,2025-06-01
0.1454307878756831,18.33094002,-6.787365899,1,2025-07-01
0.0109273036693297,18.33094002,-6.787365899,1,2025-08-01
2.239130277717686e-06,18.33094002,-6.787365899,1,2025-09-01
0.0,18.33094002,-6.787365899,1,2025-10-01
4.303064218882627e-05,18.33094002,-6.787365899,1,2025-11-01
0.0,18.33094002,-6.787365899,1,2025-12-01
0.0020838862523698196,18.33094002,-6.787365899,1,2026-01-01
0.0009145079614741669,18.33094002,-6.787365899,1,2026-02-01
0.010383966888327887,18.33094002,-6.787365899,1,2026-03-01
0.0022792757840282133,18.33094002,-6.787365899,1,2026-04-01
0.004000630170791303,18.05204195,-3.9940022269999997,2,2021-05-01
0.03814350623359309,18.05204195,-3.9940022269999997,2,2021-06-01
0.012648532726557318,18.05204195,-3.9940022269999997,2,2021-07-01
0.030236317746963844,18.05204195,-3.9940022269999997,2,2021-08-01
0.006116835554622712,18.05204195,-3.9940022269999997,2,2021-09-01
0.0,18.05204195,-3.9940022269999997,2,2021-10-01
0.0,18.05204195,-3.9940022269999997,2,2021-11-01
0.0,18.05204195,-3.9940022269999997,2,2021-12-01
1.8750619988043914e-05,18.05204195,-3.9940022269999997,2,2022-01-01
0.00025518548619648683,18.05204195,-3.9940022269999997,2,2022-02-01
0.008884682589421686,18.05204195,-3.9940022269999997,2,2022-03-01
0.0016449465100742476,18.05204195,-3.9940022269999997,2,2022-04-01
0.004990585063819768,18.05204195,-3.9940022269999997,2,2022-05-01
0.034311773917076335,18.05204195,-3.9940022269999997,2,2022-06-01
0.014420398232349602,18.05204195,-3.9940022269999997,2,2022-07-01
0.034469668459716184,18.05204195,-3.9940022269999997,2,2022-08-01
0.0065075622894451715,18.05204195,-3.9940022269999997,2,2022-09-01
0.0,18.05204195,-3.9940022269999997,2,2022-10-01
0.0,18.05204195,-3.9940022269999997,2,2022-11-01
0.0,18.05204195,-3.9940022269999997,2,2022-12-01
1.3197804292083315e-05,18.05204195,-3.9940022269999997,2,2023-01-01
0.0001796020457112662,18.05204195,-3.9940022269999997,2,2023-02-01
0.006153989354441947,18.05204195,-3.9940022269999997,2,2023-03-01
0.0011595381808234286,18.05204195,-3.9940022269999997,2,2023-04-01
0.004673728879908221,18.05204195,-3.9940022269999997,2,2023-05-01
0.035533443965814746,18.05204195,-3.9940022269999997,2,2023-06-01
0.013855380442822364,18.05204195,-3.9940022269999997,2,2023-07-01
0.03311977258580276,18.05204195,-3.9940022269999997,2,2023-08-01
0.0063829704627887,18.05204195,-3.9940022269999997,2,2023-09-01
